feature,importance,rank
stress_level,0.2680757074776135,1
sleep_duration,0.1409899078286094,2
physical_activity_level,0.09072842134403884,3
bmi,0.08203478521534334,4
sleep_distance_8h,0.061199010781950516,5
bmi_distance_normal,0.044212236168954394,6
stress_level_was_missing,0.0414554861406721,7
sleep_duration_was_missing,0.038749521442846185,8
exercise_duration,0.028460137184811846,9
smoking_alcohol,0.024512366381725534,10
heart_rate,0.02372061157435754,11
water_intake,0.023217479137606762,12
calories_per_step,0.022133694694142593,13
step_count,0.020288889093755764,14
calorie_expenditure,0.0179951087665593,15
steps_per_exercise_min,0.017866989682769036,16
missing_count,0.017494270079865416,17
water_per_calorie,0.014584345186511444,18
sleep_quality,0.014091848101388714,19
gender,0.007728312572015471,20
diet_type,0.00046087114446230297,21
