feature,importance,rank
stress_level,0.44313458,1
physical_activity_level,0.22549067,2
sleep_duration,0.18185712,3
sleep_distance_8h,0.036402423,4
bmi,0.015700476,5
missing_count,0.013004924,6
exercise_duration,0.009702398,7
step_count,0.009413388,8
sleep_quality,0.009397444,9
smoking_alcohol,0.008513506,10
bmi_distance_normal,0.0060001817,11
water_intake,0.005572769,12
calories_per_step,0.0054723,13
steps_per_exercise_min,0.005368091,14
calorie_expenditure,0.005197851,15
heart_rate,0.0051236344,16
water_per_calorie,0.0050648926,17
gender,0.0048302435,18
diet_type,0.0047530504,19
