fold,model,train_rows,eval_rows,route_balanced_accuracy
0,CatBoost,7146,1867,0.6424603128885921
0,XGBoost,7146,1867,0.4871943356566028
0,LightGBM,7146,1867,0.45784005296233105
1,CatBoost,7222,1791,0.6405838928484068
1,XGBoost,7222,1791,0.49576676736764974
1,LightGBM,7222,1791,0.47963771373918274
2,CatBoost,7262,1751,0.6533063239122128
2,XGBoost,7262,1751,0.47182438105623276
2,LightGBM,7262,1751,0.4483418478698884
3,CatBoost,7190,1823,0.6196350203610702
3,XGBoost,7190,1823,0.4661825202119394
3,LightGBM,7190,1823,0.45229651011333183
4,CatBoost,7232,1781,0.6642827664145456
4,XGBoost,7232,1781,0.4990325288859232
4,LightGBM,7232,1781,0.47271872882652505
